paisagem_ano;ano;padrao;estado;areaha_florprima;perc_cobert;nfrag<1ha;nfrag_1-10ha;nfrag_10-100ha;nfrag_100-250ha;nfrag_250-500ha;nfrag_500-1000ha;nfrag>1000ha;nfrag_total;area_borda100;area_borda300;area_borda500;area_borda1000;area_core100;area_core300;area_core500;area_core1000; PAFRAC ; ENN_MN ; ENN_AM ; ENN_SD;ENN_CV;SHAPE_AM;PROX_CV;CORE_CV100;CORE_CV300;CORE_CV500;CORE_CV1000;CAI_AM100;CAI_AM300;CAI_AM500;CAI_AM1000;CLUMPY
22867_2015;2015;geo;MT;146404,4;58,56;22;87;39;11;2;1;4;166;147277384,3;343075809,8;501365264,4;802893693,8;131673,53;112108,58;96292,56;66115,03;1,2919;193,0841;64,5068;401,2462;207,8090324;8,3266;162,9187;1260,2495;1285,2445;1301,451;1330,3379;90,9282;77,1917;66,6195;45,6242;
23069_2_1985;1985;geo;RO;217665,54;87,07;1;6;9;0;0;0;1;17;100190024,2;285348091,9;473931081,9;938897106,1;207648,54;189145,07;170303,68;123775,83;1,2834;179,52;60,2177;171,7923;95,69535428;5,8733;158,4204;374,1089;374,1657;374,1657;374,1657;95,877;87,2156;78,9965;57,4245;
23069_2_1990;1990;geo;RO;158865,52;63,55;4;27;22;0;3;2;1;59;146272583,8;377512494,9;580355262,6;1009505418;144241,62;121132;100863,49;57914,98;1,3007;351,3683;67,6072;463,1669;131,8180667;9,7718;209,2154;718,0122;721,7712;723,6705;728,011;91,7269;76,7845;64,553;37,057;
23069_2_1995;1995;geo;RO;106253,73;42,50;14;59;39;6;3;3;8;132;145351883,2;340555049,3;497279778,2;798973664,8;91719,66;72210,99;56549,75;26356,36;1,2346;292,4813;136,3106;610,7381;208,8127002;6,0551;238,8701;635,2772;638,4389;638,0751;643,1204;87,6591;68,6479;54,4065;25,3603;
23069_2_2000;2000;geo;RO;90627,12;36,25;11;33;35;6;1;1;12;99;131678476,7;307609076,2;446267897,6;702273008,6;77463,73;59881,05;46024,94;20399,82;1,2352;305,8755;91,1154;428,3728;140,0480915;3,8546;201,7338;354,0936;369,3402;381,4796;425,3132;86,907;66,77;51,9758;23,0318;
23069_2_2005;2005;geo;RO;81960,12;32,78;12;40;39;5;4;2;13;115;136673334,3;306508789,5;433493978,8;658445709,9;68296,9;51322,72;38632,62;16115,55;1,2589;337,1552;101,4168;474,185;140,6429443;3,7788;257,0764;369,6448;390,0504;404,0794;454,4479;84,9327;63,3251;48,3178;20,149;
23069_2_2010;2010;geo;RO;80694,5;32,28;7;36;35;10;3;2;14;107;133442155;300710098,5;426831308,2;649137737,1;67354,4;50637,37;38033,69;15780,72;1,2519;285,9711;103,4015;454,3968;158,8960563;3,6642;234,6043;352,6412;372,9706;388,1572;442,0009;85,0759;63,5292;48,3462;20,0581;
23069_2_2015;2015;geo;RO;80798,67;32,32;8;40;39;11;6;3;15;122;134918080,2;304012381,7;430303115,5;650502446,1;67310,12;50410,71;37789,97;15748,43;1,2212;281,3848;104,6853;460,5564;163,6749391;3,2452;211,5728;350,5853;376,4307;396,8603;466,9718;84,9176;63,1451;47,9494;19,983;
00167_1985;1985;esp;AC;211742,16;84,70;3;33;5;3;0;0;4;48;260552719,7;687202217,9;1031511289;1618615191;185696,16;143074,03;108672,88;49880,64;1,3847;129,2381;60,1815;96,7343;74,84967668;12,079;116,9004;447,4799;448,9644;450,4098;463,0075;88,6507;68,1363;52,0243;23,8522;
00167_1990;1990;esp;AC;184419,28;73,77;0;220;27;2;4;3;9;265;409546252,8;988085176,2;1363752701;1752957992;143480,91;85682,09;48128,62;9123,48;1,4352;114,8174;60,7336;84,3739;73,48529056;16,2472;129,6663;944,0374;993,3618;1034,7433;1108,9817;79,3281;47,309;26,7824;5,0814;
